hasGarden;noOfRooms;noOfBathrooms;noOfBedrooms;floors;price;livingArea;address;energyLabel;houseId;sellerId;acceptedBid
false;5;1;2;2;450,000;60;Mariniersweg 76;A;11;21
false;3;1;1;1;175,00;50;Goudsesingel 130;C;12;22
true;8;2;4;3;785,000;160;Vijverlaan 90;B;13;23
true;6;1;3;3;525,500;125;Noorderhavenkade 82;D;14;24
false;4;1;2;1;265,750;95;Pannekoekstraat 12;C;15;25
true;6;2;2;2;485,750;110;Aegidiusstraat 64;E;16;26
true;10;2;4;3;820,250;180;Hoogstraat 48;D;17;27
false;3;1;1;1;198,500;60;Vondelweg 21;E;18;28
false;6;1;4;2;375,000;80;Binnenrotte 89;B;19;29
false;4;1;2;1;310,500;120;Oostzeedijk 14;C;110;210
true;6;2;4;2;565,000;115;Achterharingvliet 32;A;111;211
true;5;1;3;3;637,750;130;Essenlaan 54;E;112;212
true;7;2;3;3;695,500;145;Kortekade 18;D;113;213
false;5;1;2;340,650;125;Rozenburglaan 230;C;114;214
true;9;2;4;3;845,500;175;Vredehofweg 45;B;115;215
